Cluster,Time_Since_Fire,Avg_Home_Value
Getty Fire,-57.8,77.89045364471991
Getty Fire,-56.86666666666667,78.37313226757419
Getty Fire,-55.833333333333336,79.53233970822735
Getty Fire,-54.833333333333336,80.39698836704473
Getty Fire,-53.8,81.81145660048023
Getty Fire,-52.8,82.71042961962196
Getty Fire,-51.766666666666666,83.40466662630637
Getty Fire,-50.733333333333334,83.09332578243972
Getty Fire,-49.733333333333334,83.36969602389264
Getty Fire,-48.7,83.72358343430788
Getty Fire,-47.7,83.77251143657904
Getty Fire,-46.666666666666664,84.29565908946881
Getty Fire,-45.63333333333333,85.26383641212949
Getty Fire,-44.666666666666664,86.10792886470838
Getty Fire,-43.63333333333333,86.38189989611183
Getty Fire,-42.63333333333333,86.91842776666799
Getty Fire,-41.6,87.72887431421131
Getty Fire,-40.6,87.95084811530137
Getty Fire,-39.56666666666667,88.2145545619874
Getty Fire,-38.53333333333333,88.87455719096577
Getty Fire,-37.53333333333333,89.14286960265018
Getty Fire,-36.5,89.32754124218452
Getty Fire,-35.5,88.97719219098842
Getty Fire,-34.46666666666667,88.15449515232498
Getty Fire,-33.43333333333333,87.49131793525054
Getty Fire,-32.5,88.43321410662858
Getty Fire,-31.466666666666665,90.36141789669522
Getty Fire,-30.466666666666665,91.16052904404242
Getty Fire,-29.433333333333334,91.5747902644549
Getty Fire,-28.433333333333334,91.67910821629806
Getty Fire,-27.4,92.36422760016465
Getty Fire,-26.366666666666667,92.78822848369873
Getty Fire,-25.366666666666667,92.70446962757791
Getty Fire,-24.333333333333332,92.64707684452121
Getty Fire,-23.333333333333332,92.85158684873406
Getty Fire,-22.3,93.24727961801634
Getty Fire,-21.266666666666666,92.23017738085382
Getty Fire,-20.333333333333332,92.8054168440566
Getty Fire,-19.3,93.5062715539281
Getty Fire,-18.3,94.74886601982202
Getty Fire,-17.266666666666666,94.95703067532155
Getty Fire,-16.266666666666666,95.4899620568571
Getty Fire,-15.233333333333333,95.47350315817393
Getty Fire,-14.2,96.1059485649334
Getty Fire,-13.2,96.014416777134
Getty Fire,-12.166666666666666,96.01630732789044
Getty Fire,-11.166666666666666,95.96728579354826
Getty Fire,-10.133333333333333,96.51971702380544
Getty Fire,-9.1,97.07647178090926
Getty Fire,-8.166666666666666,97.67511334283681
Getty Fire,-7.133333333333334,98.06840657984684
Getty Fire,-6.133333333333334,98.66375156223032
Getty Fire,-5.1,99.38172344254333
Getty Fire,-4.1,99.90379663250694
Getty Fire,-3.066666666666667,100.21603642953004
Getty Fire,-2.033333333333333,100.02036354927411
Getty Fire,-1.0333333333333334,99.76360002119586
Getty Fire,0,99.65985297137286
Getty Fire,1,99.67283511144822
Getty Fire,2.033333333333333,99.86061989523476
Getty Fire,3.066666666666667,100.74848223328655
Getty Fire,4.033333333333333,100.7627764847538
Getty Fire,5.066666666666666,100.84975164380589
Getty Fire,6.066666666666666,99.70140942524687
Getty Fire,7.1,99.8096292996441
Getty Fire,8.1,99.7671265842582
Getty Fire,9.133333333333333,99.89348454343788
Getty Fire,10.166666666666666,99.57734603052272
Getty Fire,11.166666666666666,98.9857680805322
Getty Fire,12.2,98.79909050777229
Getty Fire,13.2,97.88940867282447
Getty Fire,14.233333333333333,97.62452933877537
Getty Fire,15.266666666666667,97.71082185126
Getty Fire,16.2,97.9556664040705
Getty Fire,17.233333333333334,98.21878289686269
Getty Fire,18.233333333333334,98.74966635933488
Getty Fire,19.266666666666666,99.80420694271044
Getty Fire,20.266666666666666,101.90073522467716
Getty Fire,21.3,103.16503560418477
Getty Fire,22.333333333333332,104.87712380072394
Getty Fire,23.333333333333332,105.3066486692952
Getty Fire,24.366666666666667,106.03607163968724
Getty Fire,25.366666666666667,106.66796354419768
Getty Fire,26.4,108.06760071480159
Getty Fire,27.433333333333334,109.18574561945425
Getty Fire,28.366666666666667,110.27860850454154
Getty Fire,29.4,111.11827351367607
Getty Fire,30.4,112.56049202636088
Getty Fire,31.433333333333334,113.84254023712175
Getty Fire,32.43333333333333,114.11739880404713
Getty Fire,33.46666666666667,115.26402360680248
Getty Fire,34.5,115.39880504319616
Getty Fire,35.5,116.73253765159974
Getty Fire,36.53333333333333,116.56242394828804
Getty Fire,37.53333333333333,116.54912769431893
Getty Fire,38.56666666666667,116.62289231033002
Getty Fire,39.6,116.42808037053923
Getty Fire,40.53333333333333,116.52756625260663
Getty Fire,41.56666666666667,117.2778108104978
Getty Fire,42.56666666666667,117.56969206861704
Getty Fire,43.6,119.11278648435156
Getty Fire,44.6,119.04831744088528
Getty Fire,45.63333333333333,119.95547290266867
Getty Fire,46.666666666666664,119.91119191454162
Getty Fire,47.666666666666664,120.20622229804066
Getty Fire,48.7,120.1533129293207
Getty Fire,49.7,119.63420385496894
Getty Fire,50.733333333333334,119.19868859010857
Getty Fire,51.766666666666666,119.30372108395018
Getty Fire,52.733333333333334,118.6785962145586
Getty Fire,53.766666666666666,118.84225995220368
Getty Fire,54.766666666666666,119.32941532990895
Getty Fire,55.8,121.45607517839528
Getty Fire,56.8,122.28229346106276
Getty Fire,57.833333333333336,122.51850113901389
Getty Fire,58.86666666666667,123.10262482371175
Getty Fire,59.86666666666667,123.38260970565327
Getty Fire,60.9,124.63640863271728
Getty Fire,61.9,124.88195142846591
Getty Fire,62.93333333333333,127.19977108317208
Getty Fire,63.96666666666667,129.16720784326932
Tick Fire,-57.8,NA
Tick Fire,-56.86666666666667,NA
Tick Fire,-55.833333333333336,NA
Tick Fire,-54.833333333333336,NA
Tick Fire,-53.8,NA
Tick Fire,-52.8,NA
Tick Fire,-51.766666666666666,NA
Tick Fire,-50.733333333333334,NA
Tick Fire,-49.733333333333334,NA
Tick Fire,-48.7,NA
Tick Fire,-47.7,NA
Tick Fire,-46.666666666666664,NA
Tick Fire,-45.63333333333333,NA
Tick Fire,-44.666666666666664,NA
Tick Fire,-43.63333333333333,NA
Tick Fire,-42.63333333333333,NA
Tick Fire,-41.6,87.39526827893334
Tick Fire,-40.6,88.22057175430615
Tick Fire,-39.56666666666667,88.65254976174474
Tick Fire,-38.53333333333333,87.90622106719623
Tick Fire,-37.53333333333333,89.29717533475566
Tick Fire,-36.5,89.01432726228656
Tick Fire,-35.5,89.4058201823571
Tick Fire,-34.46666666666667,88.81019113661138
Tick Fire,-33.43333333333333,89.57392850604279
Tick Fire,-32.5,90.11417590811702
Tick Fire,-31.466666666666665,89.78736309020498
Tick Fire,-30.466666666666665,91.10943941339778
Tick Fire,-29.433333333333334,92.14312297234893
Tick Fire,-28.433333333333334,92.82132789216509
Tick Fire,-27.4,92.00931489228967
Tick Fire,-26.366666666666667,92.25326683435412
Tick Fire,-25.366666666666667,91.42506353795457
Tick Fire,-24.333333333333332,91.5711246599155
Tick Fire,-23.333333333333332,91.55413539202023
Tick Fire,-22.3,92.13874202370455
Tick Fire,-21.266666666666666,93.35693795419843
Tick Fire,-20.333333333333332,94.50145893316778
Tick Fire,-19.3,96.50670337785692
Tick Fire,-18.3,98.00076907585452
Tick Fire,-17.266666666666666,97.20044530264585
Tick Fire,-16.266666666666666,94.5759573550264
Tick Fire,-15.233333333333333,92.66481597035552
Tick Fire,-14.2,92.52029836783493
Tick Fire,-13.2,94.9901096541964
Tick Fire,-12.166666666666666,97.48828522956154
Tick Fire,-11.166666666666666,98.01593100933327
Tick Fire,-10.133333333333333,98.54357678910497
Tick Fire,-9.1,97.70300948491254
Tick Fire,-8.166666666666666,99.00380676331207
Tick Fire,-7.133333333333334,100.63636183543167
Tick Fire,-6.133333333333334,101.54148297463597
Tick Fire,-5.1,100.76274088046935
Tick Fire,-4.1,100.53285392869613
Tick Fire,-3.066666666666667,99.30049187551359
Tick Fire,-2.033333333333333,100.22379599246591
Tick Fire,-1.0333333333333334,100.47571213202049
Tick Fire,0,103.1366950149706
Tick Fire,1,103.09353665840486
Tick Fire,2.033333333333333,103.70273952838089
Tick Fire,3.066666666666667,101.70632721416686
Tick Fire,4.033333333333333,103.20536594733846
Tick Fire,5.066666666666666,102.55992372809905
Tick Fire,6.066666666666666,102.37219419342583
Tick Fire,7.1,99.612831401213
Tick Fire,8.1,98.29217618741707
Tick Fire,9.133333333333333,98.50239153154703
Tick Fire,10.166666666666666,99.38448381507672
Tick Fire,11.166666666666666,101.54763908083967
Tick Fire,12.2,102.13259136830817
Tick Fire,13.2,102.77924518418648
Tick Fire,14.233333333333333,102.93321357957647
Tick Fire,15.266666666666667,101.78104303253276
Tick Fire,16.2,101.59948677029166
Tick Fire,17.233333333333334,100.8432288325376
Tick Fire,18.233333333333334,105.25243410612471
Tick Fire,19.266666666666666,108.39957987855814
Tick Fire,20.266666666666666,112.510429702342
Tick Fire,21.3,111.30023611651248
Tick Fire,22.333333333333332,112.1530646854419
Tick Fire,23.333333333333332,111.35788226121701
Tick Fire,24.366666666666667,113.02346380043018
Tick Fire,25.366666666666667,114.10958120135805
Tick Fire,26.4,114.77481370833829
Tick Fire,27.433333333333334,115.76057640556567
Tick Fire,28.366666666666667,117.2236195075314
Tick Fire,29.4,121.21499297506647
Tick Fire,30.4,122.28846390956924
Tick Fire,31.433333333333334,122.24176337594868
Tick Fire,32.43333333333333,122.29198341024832
Tick Fire,33.46666666666667,124.02971854929244
Tick Fire,34.5,125.10924589871696
Tick Fire,35.5,124.55176657033371
Tick Fire,36.53333333333333,122.54543662660937
Tick Fire,37.53333333333333,124.62045606765972
Tick Fire,38.56666666666667,117.94868378037006
Tick Fire,39.6,118.70690515318113
Tick Fire,40.53333333333333,118.36469410123895
Tick Fire,41.56666666666667,126.81825685136157
Tick Fire,42.56666666666667,129.35082939463263
Tick Fire,43.6,131.74125179140083
Tick Fire,44.6,132.6797664159004
Tick Fire,45.63333333333333,135.29533606281677
Tick Fire,46.666666666666664,134.64748281500954
Tick Fire,47.666666666666664,135.0458958444119
Tick Fire,48.7,134.49967251795348
Tick Fire,49.7,134.6128561163433
Tick Fire,50.733333333333334,134.77267005755317
Tick Fire,51.766666666666666,133.23025811445348
Tick Fire,52.733333333333334,132.2585259479033
Tick Fire,53.766666666666666,133.5680905913532
Tick Fire,54.766666666666666,135.42785858310492
Tick Fire,55.8,136.5088321342898
Tick Fire,56.8,135.90689702155993
Tick Fire,57.833333333333336,138.04419367426485
Tick Fire,58.86666666666667,139.08209330129625
Tick Fire,59.86666666666667,138.23123363518545
Tick Fire,60.9,136.51953529888874
Tick Fire,61.9,134.62512916431857
Tick Fire,62.93333333333333,135.8827793183759
Tick Fire,63.96666666666667,135.68266988125387
